id,event_name_vi,event_name_en,ticker,event_code,event_title_vi,event_title_en,display_date1,display_date2,public_date,start_date,end_date,action_type_vi,action_type_en,category,issue_date,record_date,exright_date,listing_date,exercise_ratio
6708f3d70ec61045ab7f9549,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,VIC,DDRP,"Mai Thu Thủy - Đăng kí Mua 150,000 VIC","Mai Thu Thuy - Subscribe to Buy 150,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f9548,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,VIC,DDRP,"Phạm Hồng Linh - Đăng kí Mua 150,000 VIC","Pham Hong Linh - Subscribe to Buy 150,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f9547,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,VIC,DDRP,"Nguyễn Quốc Thành - Đăng kí Mua 672,000 VIC","Nguyen Quoc Thanh - Subscribe to Buy 672,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d70ec61045ab7f9546,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,VIC,DDRP,"Phạm Nhật Quân Anh - Đăng kí Mua 150,000 VIC","Pham Nhat Quan Anh - Subscribe to Buy 150,000 VIC shares",2023-12-21T00:00:00,2023-12-22T00:00:00,2023-12-22T00:00:00,2023-12-21T00:00:00,2023-12-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3750ec61045ab7e6b9d,Đại hội Đồng Cổ đông,Annual General Meeting,VIC,AGME,VIC - Tổ chức ĐHĐCĐ thường niên 2023,VIC - Holds 2023 AGM,2023-05-17T00:00:00,2023-04-12T00:00:00,2023-03-29T00:00:00,,,,,SHAREHOLDER_MEETING,2023-05-17T00:00:00,2023-04-13T00:00:00,2023-04-12T00:00:00,,
6708f3d40ec61045ab7f8cf3,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Phạm Nhật Vượng - Đăng kí Bán 50,765,942 VIC","Pham Nhat Vuong - Subscribe to Sell 50,765,942 VIC shares",2023-03-21T00:00:00,2023-03-24T00:00:00,2023-03-24T00:00:00,2023-03-21T00:00:00,2023-03-21T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d30ec61045ab7f8a87,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,VIC,DDRP,"Phạm Văn Sinh - Đăng kí Bán 20,000 VIC","Pham Van Sinh - Subscribe to Sell 20,000 VIC shares",2022-12-20T00:00:00,2022-12-23T00:00:00,2022-12-23T00:00:00,2022-12-20T00:00:00,2022-12-20T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d30ec61045ab7f8a13,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,VIC,DDRP,"Phạm Văn Sinh - Đăng kí Mua 20,000 VIC","Pham Van Sinh - Subscribe to Buy 20,000 VIC shares",2022-11-21T00:00:00,2022-11-23T00:00:00,2022-11-23T00:00:00,2022-11-21T00:00:00,2022-11-21T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3d20ec61045ab7f8815,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,VIC,DDIND,"Phạm Nhật Vượng - Đăng kí Bán 243,462,578 VIC","Pham Nhat Vuong - Subscribe to Sell 243,462,578 VIC shares",2022-11-17T00:00:00,2022-11-18T00:00:00,2022-11-18T00:00:00,2022-11-17T00:00:00,2022-11-17T00:00:00,Bán,Sell,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f39d0ec61045ab7ee869,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,VIC,DDINS,Công Ty Cổ Phần Quản Lý Và Đầu Tư Bất Động Sản Hưng Long - Đăng kí Mua VIC,Hung Long Real Estate Investment and Management Joint Stock Company - Subscribe to Buy VIC shares,2022-11-17T00:00:00,2022-11-18T00:00:00,2022-11-18T00:00:00,2022-11-17T00:00:00,2022-11-17T00:00:00,Mua,Buy,MAJOR_SHAREHOLDER_TRADING,,,,,
6708f3710ec61045ab7e5ede,Đại hội Đồng Cổ đông,Annual General Meeting,VIC,AGME,VIC - Tổ chức ĐHĐCĐ thường niên 2022,VIC - Holds 2022 AGM,2022-04-06T00:00:00,,2022-03-24T00:00:00,,,,,SHAREHOLDER_MEETING,,2022-04-07T00:00:00,2022-04-06T00:00:00,,
