date,open,high,low,close,volume,sma_10,sma_20,ema_20,macd_histogram,rsi_14,atr_14,cci_14,momentum_10,roc_12,obv,log_return,body_size,daily_range,upper_shadow,lower_shadow,rolling_std_20,historical_volatility_20,return_lag_1,return_lag_2,return_lag_3,return_lag_4,return_lag_5,rolling_max_20,rolling_min_20,rolling_mean_20,distance_from_high_20,distance_from_low_20,volume_sma_20,volume_ratio,volume_change,price_volume,vnindex,vnindex_volume,vnindex_return,correlation_market_20,beta_20,day_of_week
11/13/2024,59.59,60.05,59.22,59.5,2773315,60.001,60.838,60.72257602,-0.047738743,11.41439206,0.772142857,-100.2958033,-1.19,-3.26776134,-109803220,0.00151375,-0.09,0.83,0.46,0.28,0.961460512,0.093430309,-0.004524129,-0.007648819,-0.002984085,0.001494272,0.004670559,62.61,59.41,60.838,0.049672576,0.001514896,2354907.35,1.177674782,0.598729808,165012242.5,1246.04,556101320,0.000980061,-0.068028906,-0.071151348,2
11/14/2024,59.5,59.5,59.22,59.5,1781237,59.901,60.719,60.60614021,-0.033573716,12.56830601,0.746428571,-127.5820997,-1,-2.983857818,-109803220,0,0,0.28,0,0.28,0.972922348,0.092883928,0.001514896,-0.004524129,-0.007648819,-0.002984085,0.001494272,62.61,59.41,60.719,0.049672576,0.001514896,2361025.25,0.754433694,-0.357722797,105983601.5,1231.89,530216570,-0.011355976,-0.132277012,-0.133145556,3
11/15/2024,59.41,59.41,58.31,58.31,3697005,59.709,60.55,60.38746019,-0.091525746,11.16504854,0.746428571,-191.2927424,-1.92,-3.921568627,-113500225,-0.020202707,-1.1,1.1,0,0,1.082740188,0.112894044,0,0.001514896,-0.004524129,-0.007648819,-0.002984085,62.61,58.31,60.55,0.068679125,0,2465896.7,1.499253801,1.075526727,215572361.6,1218.57,634822173,-0.010812654,0.077418562,0.090047982,4
11/18/2024,58.31,58.76,57.85,57.85,3752034,59.489,60.3625,60.14579731,-0.144845907,10.45454545,0.778571429,-198.6434109,-2.2,-4.380165289,-117252259,-0.007920152,-0.46,0.91,0.45,0,1.208709076,0.114188774,-0.02,0,0.001514896,-0.004524129,-0.007648819,62.61,57.85,60.3625,0.076026194,0,2560381.6,1.465419842,0.014884751,217055166.9,1217.12,519684737,-0.001189919,0.071777579,0.084536162,0
11/19/2024,57.94,58.12,57.67,57.67,2736295,59.261,60.166,59.91000709,-0.174268694,11.6751269,0.745714286,-186.4269993,-2.28,-4.250373568,-119988554,-0.003116346,-0.27,0.45,0.18,0,1.311978819,0.1135971,-0.00788887,-0.02,0,0.001514896,-0.004524129,62.61,57.67,60.166,0.078901134,0,2584530,1.058720541,-0.270716896,157802132.7,1205.15,411580431,-0.009834692,0.089704908,0.103200224,1
11/20/2024,57.67,58.4,57.57,58.22,2820172,59.06,59.997,59.74905404,-0.140186589,23.48837209,0.72,-125.5959716,-2.01,-3.04746045,-117168382,0.009491831,0.55,0.83,0.18,0.1,1.335030455,0.121970012,-0.003111495,-0.00788887,-0.02,0,0.001514896,62.61,57.67,59.997,0.070116595,0.009537021,2643670.6,1.066763764,0.030653493,164190413.8,1216.54,595053508,0.009451106,0.218164129,0.248433327,2
11/21/2024,58.31,58.67,58.03,58.49,2255565,58.877,59.791,59.62914413,-0.085636922,29.76744186,0.72,-78.61697402,-1.83,-2.435362802,-114912817,0.004626861,0.18,0.64,0.18,0.28,1.223850266,0.103124093,0.009537021,-0.003111495,-0.00788887,-0.02,0,62.24,57.67,59.791,0.060250643,0.014218831,2537951.35,0.88873453,-0.200203037,131927996.9,1228.33,385541342,0.00969142,0.557419571,0.52225898,3
11/22/2024,58.49,59.31,58.49,58.86,2179029,58.749,59.622,59.55589231,-0.014541217,36.74832962,0.713571429,-29.49356579,-1.28,-2.27461398,-112733788,0.006305943,0.37,0.82,0.45,0,1.094395291,0.108162225,0.004637582,0.009537021,-0.003111495,-0.00788887,-0.02,61.51,57.67,59.622,0.043082426,0.020634645,2538285.25,0.858464981,-0.033932075,128257646.9,1228.1,416151649,-0.000187246,0.533990627,0.526593273,4
11/25/2024,58.86,59.13,58.76,58.86,2450009,58.667,59.4895,59.48961685,0.039618878,37.58542141,0.707142857,-20.58533377,-0.82,-2.420424403,-112733788,0,0,0.37,0.27,0.1,1.011025925,0.103168716,0.006325868,0.004637582,0.009537021,-0.003111495,-0.00788887,61.33,57.67,59.4895,0.040273928,0.020634645,2514388.35,0.974395622,0.124358143,144207529.7,1234.7,382227104,0.005374155,0.594566656,0.549429714,0
11/26/2024,59.04,59.5,58.95,59.31,1678113,58.657,59.3885,59.47251048,0.108952546,39.9122807,0.707142857,17.77137368,-0.1,-1.38011307,-111055675,0.007616183,0.27,0.55,0.19,0.09,0.913698528,0.108823055,0,0.006325868,0.004637582,0.009537021,-0.003111495,60.69,57.67,59.3885,0.022738507,0.028437663,2496615.3,0.672155218,-0.315058434,99528882.03,1242.13,470846416,0.006017656,0.639625183,0.621590977,1
11/27/2024,59.31,59.5,59.04,59.13,1588583,58.62,59.3105,59.43989044,0.143708679,37.20430108,0.700714286,25.72908149,-0.37,-0.921581769,-112644258,-0.003039516,-0.18,0.46,0.19,0.09,0.861861358,0.103961712,0.00764526,0,0.006325868,0.004637582,0.009537021,60.5,57.67,59.3105,0.022644628,0.025316456,2404193.45,0.660755065,-0.053351592,93932912.79,1241.97,330000841,-0.000128811,0.651166486,0.60546525,2
11/28/2024,59.5,59.5,59.04,59.04,1275083,58.574,59.2375,59.40180563,0.160386357,37.93859649,0.694285714,35.73333333,-0.46,-0.622790776,-113919341,-0.00152323,-0.46,0.46,0,0,0.816442056,0.103738629,-0.003034901,0.00764526,0,0.006325868,0.004637582,60.32,57.67,59.2375,0.021220159,0.023755852,2209062.95,0.577205371,-0.197345685,75280900.32,1242.11,374803536,0.000112724,0.674218571,0.635213021,3
