date,close,predicted,predicted_name,actual,actual_name,prob_bear,prob_neutral,prob_bull,correct
2024-02-22,62.53,1,Neutral,0.0,Bear,0.415,0.449,0.136,False
2024-02-23,62.0,1,Neutral,1.0,Neutral,0.2782,0.6276,0.0941,True
2024-02-26,62.0,2,Bull,2.0,Bull,0.1478,0.2064,0.6457,True
2024-02-27,62.87,1,Neutral,1.0,Neutral,0.2718,0.6313,0.0969,True
2024-02-28,63.05,1,Neutral,1.0,Neutral,0.2274,0.4078,0.3649,True
2024-02-29,62.87,1,Neutral,0.0,Bear,0.3234,0.5587,0.1179,False
2024-03-01,62.44,1,Neutral,2.0,Bull,0.1478,0.5725,0.2796,False
2024-03-04,62.87,2,Bull,2.0,Bull,0.3405,0.3089,0.3506,True
2024-03-05,63.75,1,Neutral,0.0,Bear,0.2407,0.4689,0.2904,False
2024-03-06,62.7,1,Neutral,1.0,Neutral,0.2145,0.7079,0.0776,True
2024-03-07,62.87,1,Neutral,0.0,Bear,0.2988,0.5091,0.1921,False
2024-03-08,61.13,2,Bull,1.0,Neutral,0.1951,0.3522,0.4527,False
2024-03-11,61.39,1,Neutral,1.0,Neutral,0.2407,0.6144,0.1449,True
2024-03-12,61.13,2,Bull,2.0,Bull,0.1837,0.3574,0.4589,True
2024-03-13,61.83,1,Neutral,1.0,Neutral,0.173,0.4898,0.3373,True
2024-03-14,61.56,0,Bear,0.0,Bear,0.4619,0.3371,0.201,True
2024-03-15,60.86,0,Bear,0.0,Bear,0.4312,0.273,0.2958,True
2024-03-18,60.06,1,Neutral,1.0,Neutral,0.1511,0.7784,0.0705,True
2024-03-19,59.97,1,Neutral,1.0,Neutral,0.1932,0.6692,0.1375,True
2024-03-20,60.15,2,Bull,2.0,Bull,0.1833,0.2607,0.5559,True
2024-03-21,60.51,1,Neutral,0.0,Bear,0.2949,0.5866,0.1185,False
2024-03-22,59.97,1,Neutral,0.0,Bear,0.257,0.6035,0.1394,False
2024-03-25,59.53,1,Neutral,2.0,Bull,0.2311,0.4681,0.3009,False
2024-03-26,59.89,1,Neutral,1.0,Neutral,0.2536,0.5748,0.1716,True
2024-03-27,59.89,1,Neutral,1.0,Neutral,0.2437,0.6481,0.1082,True
2024-03-28,59.89,1,Neutral,1.0,Neutral,0.219,0.6851,0.096,True
2024-03-29,59.8,0,Bear,0.0,Bear,0.4766,0.3499,0.1735,True
2024-04-01,59.27,1,Neutral,1.0,Neutral,0.1931,0.6698,0.1371,True
2024-04-02,59.53,0,Bear,0.0,Bear,0.4389,0.3516,0.2095,True
2024-04-03,59.0,0,Bear,2.0,Bull,0.414,0.3454,0.2406,False
2024-04-04,60.33,1,Neutral,1.0,Neutral,0.3601,0.4277,0.2122,True
2024-04-05,60.06,0,Bear,0.0,Bear,0.4135,0.337,0.2495,True
2024-04-08,59.27,1,Neutral,1.0,Neutral,0.1737,0.4354,0.3909,True
2024-04-09,59.27,1,Neutral,1.0,Neutral,0.2077,0.6113,0.181,True
2024-04-10,59.09,1,Neutral,1.0,Neutral,0.1705,0.6481,0.1814,True
2024-04-11,58.91,1,Neutral,1.0,Neutral,0.3841,0.519,0.097,True
2024-04-12,59.0,1,Neutral,0.0,Bear,0.1916,0.6099,0.1984,False
2024-04-15,57.41,1,Neutral,0.0,Bear,0.2649,0.5594,0.1758,False
2024-04-16,56.61,1,Neutral,1.0,Neutral,0.185,0.5908,0.2242,True
2024-04-17,56.79,1,Neutral,1.0,Neutral,0.2713,0.5142,0.2144,True
2024-04-19,56.79,1,Neutral,1.0,Neutral,0.2124,0.6875,0.1002,True
2024-04-22,56.61,0,Bear,0.0,Bear,0.4247,0.3616,0.2137,True
2024-04-23,56.17,1,Neutral,2.0,Bull,0.1836,0.4422,0.3742,False
2024-04-24,56.61,1,Neutral,2.0,Bull,0.1652,0.4267,0.4081,False
2024-04-25,57.23,2,Bull,1.0,Neutral,0.2044,0.3961,0.3995,False
2024-04-26,57.5,1,Neutral,2.0,Bull,0.1711,0.4485,0.3804,False
2024-05-02,57.85,1,Neutral,1.0,Neutral,0.2337,0.6855,0.0808,True
2024-05-03,58.03,1,Neutral,1.0,Neutral,0.1693,0.4723,0.3585,True
2024-05-06,58.21,2,Bull,2.0,Bull,0.1639,0.4084,0.4277,True
2024-05-07,60.15,1,Neutral,1.0,Neutral,0.1832,0.6121,0.2047,True
2024-05-08,60.06,1,Neutral,0.0,Bear,0.2427,0.6783,0.079,False
2024-05-09,58.91,1,Neutral,1.0,Neutral,0.2297,0.6309,0.1394,True
2024-05-10,58.82,1,Neutral,0.0,Bear,0.2867,0.4,0.3133,False
2024-05-13,58.21,2,Bull,2.0,Bull,0.1142,0.3774,0.5084,True
2024-05-14,58.82,2,Bull,2.0,Bull,0.2744,0.3337,0.3919,True
2024-05-15,59.27,1,Neutral,1.0,Neutral,0.2044,0.6171,0.1785,True
2024-05-16,59.44,2,Bull,1.0,Neutral,0.308,0.2301,0.462,False
2024-05-17,59.27,2,Bull,0.0,Bear,0.3098,0.1645,0.5258,False
2024-05-20,58.74,2,Bull,1.0,Neutral,0.3287,0.2527,0.4186,False
2024-05-21,58.56,0,Bear,0.0,Bear,0.4376,0.2407,0.3217,True
2024-05-22,58.21,2,Bull,2.0,Bull,0.331,0.1983,0.4708,True
2024-05-23,59.27,0,Bear,0.0,Bear,0.3884,0.2887,0.323,True
2024-05-24,58.38,1,Neutral,1.0,Neutral,0.3213,0.4898,0.1889,True
2024-05-27,58.47,2,Bull,2.0,Bull,0.2293,0.1749,0.5959,True
2024-05-28,59.09,2,Bull,0.0,Bear,0.299,0.3245,0.3764,False
2024-05-29,58.65,0,Bear,0.0,Bear,0.5374,0.1787,0.2839,True
2024-05-30,58.12,1,Neutral,1.0,Neutral,0.3648,0.3939,0.2413,True
2024-05-31,57.85,2,Bull,2.0,Bull,0.2786,0.3051,0.4163,True
2024-06-03,58.47,1,Neutral,1.0,Neutral,0.247,0.476,0.2771,True
2024-06-04,58.38,2,Bull,2.0,Bull,0.2024,0.1411,0.6565,True
2024-06-05,60.59,0,Bear,0.0,Bear,0.4676,0.2369,0.2955,True
2024-06-06,59.44,2,Bull,2.0,Bull,0.2777,0.1245,0.5978,True
2024-06-07,59.97,0,Bear,0.0,Bear,0.4292,0.4046,0.1662,True
2024-06-10,59.44,1,Neutral,0.0,Bear,0.4394,0.4505,0.1101,False
2024-06-11,58.82,2,Bull,2.0,Bull,0.132,0.1284,0.7396,True
2024-06-12,59.27,1,Neutral,1.0,Neutral,0.2947,0.5012,0.2041,True
2024-06-13,59.18,1,Neutral,0.0,Bear,0.3725,0.3734,0.2542,False
2024-06-14,58.56,1,Neutral,1.0,Neutral,0.352,0.4663,0.1817,True
2024-06-17,58.38,1,Neutral,1.0,Neutral,0.3182,0.5938,0.0881,True
2024-06-18,58.29,1,Neutral,0.0,Bear,0.3758,0.4293,0.1949,False
2024-06-19,57.76,2,Bull,2.0,Bull,0.2058,0.2026,0.5916,True
2024-06-20,58.38,1,Neutral,1.0,Neutral,0.1723,0.6282,0.1995,True
2024-06-21,58.38,1,Neutral,0.0,Bear,0.371,0.4428,0.1862,False
2024-06-24,57.94,1,Neutral,1.0,Neutral,0.3296,0.5748,0.0956,True
2024-06-25,57.94,1,Neutral,1.0,Neutral,0.2069,0.7129,0.0802,True
2024-06-26,57.67,1,Neutral,1.0,Neutral,0.2352,0.6314,0.1334,True
2024-06-27,57.76,1,Neutral,1.0,Neutral,0.1929,0.6779,0.1292,True
2024-06-28,57.94,2,Bull,2.0,Bull,0.1402,0.3839,0.4759,True
2024-07-01,58.38,1,Neutral,1.0,Neutral,0.1977,0.493,0.3093,True
2024-07-02,58.56,1,Neutral,1.0,Neutral,0.1297,0.7042,0.166,True
2024-07-03,58.56,1,Neutral,1.0,Neutral,0.1581,0.6748,0.1671,True
2024-07-04,58.74,1,Neutral,2.0,Bull,0.1642,0.4211,0.4147,False
2024-07-05,59.44,2,Bull,2.0,Bull,0.1591,0.4181,0.4229,True
2024-07-08,59.8,1,Neutral,1.0,Neutral,0.1985,0.5772,0.2243,True
2024-07-09,59.71,1,Neutral,0.0,Bear,0.1475,0.6784,0.1741,False
2024-07-10,59.09,1,Neutral,0.0,Bear,0.2429,0.6838,0.0733,False
2024-07-11,58.65,1,Neutral,1.0,Neutral,0.2708,0.5977,0.1315,True
2024-07-12,58.65,1,Neutral,1.0,Neutral,0.1776,0.6187,0.2036,True
2024-07-15,58.56,2,Bull,1.0,Neutral,0.1611,0.3791,0.4598,False
2024-07-16,58.47,1,Neutral,0.0,Bear,0.2719,0.6005,0.1276,False
2024-07-17,58.12,1,Neutral,1.0,Neutral,0.2115,0.6547,0.1338,True
2024-07-18,58.29,1,Neutral,0.0,Bear,0.3044,0.5993,0.0963,False
2024-07-19,57.76,1,Neutral,1.0,Neutral,0.1703,0.736,0.0937,True
2024-07-22,57.85,2,Bull,2.0,Bull,0.1783,0.2211,0.6006,True
2024-07-23,58.29,1,Neutral,1.0,Neutral,0.2075,0.6972,0.0953,True
2024-07-24,58.03,1,Neutral,1.0,Neutral,0.2111,0.6852,0.1037,True
2024-07-25,58.03,1,Neutral,1.0,Neutral,0.1783,0.7259,0.0958,True
