id,event_name_vi,event_name_en,ticker,event_code,event_title_vi,event_title_en,display_date1,display_date2,public_date,record_date,exright_date,exercise_ratio,category,payout_date,value_per_share,start_date,end_date,action_type_vi,action_type_en,issue_date,listing_date
681d4b6f86e9541d8abad64e,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Nguyễn Quang Minh - Đăng kí Mua 5,500,000 HPG","Nguyen Quang Minh - Subscribe to Buy 5,500,000 HPG shares",2025-05-14T00:00:00,2025-05-15T00:00:00,2025-05-15T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2025-05-14T00:00:00,2025-05-14T00:00:00,Mua,Buy,,
67ec83df90c07f62ae2ba415,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Doãn Thị Bích Ngọc - Đăng kí Bán 400,000 HPG","Doan Thi Bich Ngoc - Subscribe to Sell 400,000 HPG shares",2025-04-17T00:00:00,2025-05-05T00:00:00,2025-05-05T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2025-04-17T00:00:00,2025-04-25T00:00:00,Bán,Sell,,
67b67591bf8a9233108464ab,Đại hội Đồng Cổ đông,Annual General Meeting,HPG,AGME,HPG - Tổ chức ĐHĐCĐ thường niên 2025,HPG - Holds 2025 AGM,2025-04-17T00:00:00,2025-03-14T00:00:00,2025-02-25T00:00:00,2025-03-17T00:00:00,2025-03-14T00:00:00,,SHAREHOLDER_MEETING,,,,,,,2025-04-17T00:00:00,
6708f3d90ec61045ab7f9dad,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Lê Ngọc Hồ - Đăng kí Bán 221,100 HPG","Le Ngoc Ho - Subscribe to Sell 221,100 HPG shares",2024-08-26T00:00:00,2024-09-06T00:00:00,2024-09-06T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2024-08-26T00:00:00,2024-09-04T00:00:00,Bán,Sell,,
6708f37b0ec61045ab7e7d98,Niêm yết thêm,Additional Listing,HPG,AIS,"HPG - Niêm yết bổ sung 581,464,500 cổ phiếu","HPG- Lists additional 581,464,500 shares",2024-06-19T00:00:00,2024-06-21T00:00:00,2024-06-21T00:00:00,,,,OTHER,,,,,,,2024-06-19T00:00:00,
6708f3f80ec61045ab800ab1,Phát hành cổ phiếu,Share Issue,HPG,ISS,Phát hành cổ phiếu - Cổ phiếu thưởng tỉ lệ 10.0%,Share Issue - Bonus Issue ratio 10.0%,2024-05-23T00:00:00,2024-05-15T00:00:00,2024-05-15T00:00:00,2024-05-24T00:00:00,2024-05-23T00:00:00,0.1,DIVIDEND,,,,,,,,2024-06-28T00:00:00
6708f3d70ec61045ab7f979f,Giao dịch nội bộ: Giao dịch cá nhân,Director Deal: Individual transactions,HPG,DDIND,"Nguyễn Ngọc Quang - Đăng kí Bán 1,000,000 HPG","NGUYEN NGOC QUANG - Subscribe to Sell 1,000,000 HPG shares",2024-03-12T00:00:00,2024-04-03T00:00:00,2024-04-03T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2024-03-12T00:00:00,2024-04-02T00:00:00,Bán,Sell,,
6708f3780ec61045ab7e73aa,Đại hội Đồng Cổ đông,Annual General Meeting,HPG,AGME,HPG - Tổ chức ĐHĐCĐ thường niên 2024,HPG - Holds 2024 AGM,2024-04-11T00:00:00,2024-03-08T00:00:00,2024-02-21T00:00:00,2024-03-11T00:00:00,2024-03-08T00:00:00,,SHAREHOLDER_MEETING,,,,,,,2024-04-11T00:00:00,
6708f39f0ec61045ab7eee34,Giao dịch nội bộ: Giao dịch tổ chức,Director Deal: Institutional transactions,HPG,DDINS,"Công ty Cổ Phần Đầu Tư Và Xây Dựng Sao Phương Bắc - Đăng kí Bán 1,100,000 HPG","Sao Phuong Bac Investment And Construction Joint Stock Company - Subscribe to Sell 1,100,000 HPG shares",2023-11-06T00:00:00,2023-12-05T00:00:00,2023-12-05T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2023-11-06T00:00:00,2023-11-08T00:00:00,Bán,Sell,,
6708f3d60ec61045ab7f93e9,Giao dịch nội bộ: Giao dịch người liên quan,Director Deal: Related Person transactions,HPG,DDRP,"Vũ Thị Hiền - Đăng kí Bán 26,570,300 HPG","Vu Thi Hien - Subscribe to Sell 26,570,300 HPG shares",2023-11-01T00:00:00,2023-11-08T00:00:00,2023-11-08T00:00:00,,,,MAJOR_SHAREHOLDER_TRADING,,,2023-11-01T00:00:00,2023-11-06T00:00:00,Bán,Sell,,
